STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40,42,46,44,34,41,,,,,,,,,42,33,36,35,36,38,51,48,25,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,25,47,46,51,34,36,,,,,,,,,45,35,33,32,37,37,45,48,34,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,45,44,50,30,34,,,,,,,,,45,38,37,27,39,47,48,44,38,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,46,50,46,50,24,34,,,,,,,,,41,40,36,27,41,51,47,47,36,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,41,46,46,46,23,32,,,,,,,,,37,51,38,28,46,46,44,44,38,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,41,50,45,27,33,,,,,,,,,38,51,44,29,47,45,45,46,41,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,43,46,55,44,35,39,,,,,,,,,44,45,41,33,44,40,51,44,47,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,41,44,49,43,42,39,,,,,,,,,47,41,42,37,45,41,45,47,39,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,40,41,45,48,48,35,,,,,,,,,46,40,39,39,45,47,36,39,40,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,35,46,44,45,44,33,,,,,,,,,47,45,43,37,43,50,38,44,42,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,36,46,47,44,41,31,,,,,,,,,49,46,41,32,44,51,44,46,48,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,35,42,45,45,42,42,,,,,,,,,46,46,45,31,50,51,42,50,52,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,38,39,38,46,46,36,,,,,,,,,51,43,47,31,50,47,35,50,49,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,41,39,38,43,49,33,,,,,,,,,50,38,42,34,47,43,30,44,45,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,36,38,38,48,32,,,,,,,,,47,40,40,34,48,39,35,48,42,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,33,35,42,45,38,,,,,,,,,43,47,46,36,52,44,41,44,40,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,42,34,38,44,42,48,,,,,,,,,40,44,47,43,49,51,37,45,40,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,36,41,37,42,45,57,,,,,,,,,39,50,47,46,48,50,42,45,46,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,37,43,40,43,47,56,,,,,,,,,41,47,45,46,42,48,48,39,45,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,41,43,42,42,41,52,,,,,,,,,41,43,44,46,43,44,50,40,49,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,44,43,38,43,39,55,,,,,,,,,40,40,47,45,48,41,49,43,43,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,42,44,38,47,40,53,,,,,,,,,46,44,51,45,43,43,45,43,40,40
