STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-01,51,35,32,45,28,44,44,44,43,46,51,43,36,42,42,50,51,43,42,46,47,43,42,38,47,47,37,44,40,42,44,30,52,47,39,42,45,34,47,49,42,44,46,44,49,34,52,46,50,55,50,45,43,50,50,46,37,45,58,48,47,46,52,40,55,41,45,42,46,37,44,44,53,52,34,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-02,45,40,24,46,35,55,51,39,42,43,48,34,34,41,49,52,45,48,38,46,38,42,44,34,42,41,37,45,37,40,43,36,46,43,36,42,49,40,42,50,40,47,44,47,50,38,53,50,54,51,39,43,45,55,51,56,36,41,49,56,46,38,47,39,51,43,51,42,42,34,44,47,50,49,43,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-03,45,40,26,42,31,52,44,44,43,42,51,25,35,39,49,50,46,36,39,46,41,43,41,32,37,38,35,45,42,38,47,40,46,40,37,45,58,36,46,49,43,53,45,44,49,40,54,54,49,44,41,44,47,49,50,55,36,40,47,48,49,40,48,42,53,44,48,41,40,33,49,56,62,48,41,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-04,45,42,28,40,35,45,44,37,48,41,51,27,36,44,45,42,45,39,39,42,44,55,40,35,40,34,38,44,50,35,53,41,40,50,36,52,61,41,49,47,43,45,50,40,48,37,53,51,46,40,42,44,50,55,51,54,27,40,54,42,53,38,49,38,54,50,46,51,38,36,47,51,46,51,42,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-05,45,41,38,43,37,47,53,41,52,39,49,35,40,52,46,38,43,44,49,37,41,51,41,35,45,32,34,48,43,39,50,43,39,48,29,52,51,46,49,44,46,40,54,37,40,33,48,44,42,42,43,50,44,52,50,51,26,39,55,43,46,46,50,45,48,44,47,54,46,35,51,51,48,47,39,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-06,48,49,39,45,35,44,44,40,47,39,43,42,41,46,51,37,46,40,50,40,38,45,44,35,46,28,36,41,42,43,42,46,35,51,25,50,52,44,50,40,46,40,53,37,41,34,46,41,53,46,45,46,41,46,57,57,31,40,56,44,41,53,50,49,40,45,46,54,53,40,48,50,51,52,50,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-07,50,46,37,40,36,46,46,42,43,40,48,47,40,58,51,35,37,38,54,46,44,42,45,43,44,29,35,44,48,42,46,47,30,43,38,55,50,48,49,39,48,37,53,44,41,39,47,50,55,48,43,48,46,57,59,54,39,44,53,49,40,52,48,48,45,50,47,46,44,37,45,45,55,52,48,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-08,48,30,33,46,42,54,46,40,44,36,47,53,37,49,49,46,43,41,52,50,43,38,42,46,46,33,36,44,47,42,50,48,29,47,46,47,52,45,52,42,42,47,48,44,44,39,50,53,53,47,41,46,46,51,52,50,47,44,49,48,43,50,46,40,50,53,50,46,48,45,49,49,45,51,45,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-09,50,32,35,44,43,53,44,44,44,38,49,50,41,54,48,40,40,41,44,47,48,41,42,48,47,37,32,34,44,35,52,43,34,55,40,47,55,42,52,46,47,47,53,42,51,39,51,53,50,47,37,44,44,49,49,56,55,37,52,51,42,43,54,39,49,50,49,50,49,42,50,53,39,48,50,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-10,43,30,42,45,41,47,44,39,46,43,50,50,35,57,47,29,43,45,46,49,38,43,41,42,44,40,35,35,45,42,47,45,38,59,43,52,49,42,51,51,45,45,44,47,50,36,50,53,50,47,31,53,36,51,48,52,50,38,55,36,50,44,55,38,43,38,55,46,52,40,45,54,44,49,48,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",01-11,42,37,35,47,40,55,41,42,56,49,49,52,37,50,39,24,45,39,45,47,42,39,44,34,49,43,37,32,43,44,50,45,45,52,43,54,49,38,55,59,45,46,49,51,49,36,50,51,55,45,29,49,37,50,51,50,49,39,49,31,47,48,57,39,43,37,58,49,47,34,50,61,46,47,53,57
